N_Policy,Company,Category,Char,Started,Expired,Gross,Net,Commissions,id
34061823,ΑΝΥΤΙΜΕ,ΑΥΤΟΚΙΝΗΤΟΥ,ΥΖΧ3013,2024-07-25,2025-01-25,128.06,88.04,7.04,64
33923814,ΑΝΥΤΙΜΕ,ΑΥΤΟΚΙΝΗΤΟΥ,ΙΗΗ6801,2024-03-29,2025-03-29,262.53,180.42,14.43,47
33933860,ΑΝΥΤΙΜΕ,ΑΥΤΟΚΙΝΗΤΟΥ,ΙΥΥ5847,2024-04-01,2024-10-01,161.11,110.7,8.86,48
33977237,ΑΝΥΤΙΜΕ,ΑΥΤΟΚΙΝΗΤΟΥ,ΖΤΑ1605,2024-05-06,2024-11-06,182.26,125.14,10.01,50
34037676,ΑΝΥΤΙΜΕ,ΑΥΤΟΚΙΝΗΤΟΥ,ΒΟΥ6088,2024-07-01,2025-07-01,296.29,203.63,0,58
34018264,ΑΝΥΤΙΜΕ,ΑΥΤΟΚΙΝΗΤΟΥ,ΡΡΗ1416,2024-06-23,2024-12-23,158.54,109,8.72,52
34029331,ΑΝΥΤΙΜΕ,ΑΥΤΟΚΙΝΗΤΟΥ,ΥΝΝ2989,2024-06-19,2024-12-19,120.02,82.5,6.6,53
34060677,ΑΝΥΤΙΜΕ,ΑΥΤΟΚΙΝΗΤΟΥ,ΙΒΚ1861,2024-07-12,2025-07-12,223.86,153.87,12.31,63
34062329,ΑΝΥΤΙΜΕ,ΑΥΤΟΚΙΝΗΤΟΥ,ΖΝΙ8075,2024-07-19,2025-07-19,276.33,189.69,15.18,66
34057566,ΑΝΥΤΙΜΕ,ΑΥΤΟΚΙΝΗΤΟΥ,ΙΜΟ8451,2024-07-31,2025-01-31,127.05,87.31,6.98,62
34051428,ΑΝΥΤΙΜΕ,ΑΥΤΟΚΙΝΗΤΟΥ,ΝΕΚ9666,2024-07-09,2025-07-09,188.07,129.49,10.36,61
34051254,ΑΝΥΤΙΜΕ,ΑΥΤΟΚΙΝΗΤΟΥ,ΙΚΑ7608,2024-07-14,2025-01-14,135.6,93.14,7.45,60
33904021,ΑΝΥΤΙΜΕ,ΑΥΤΟΚΙΝΗΤΟΥ,ΖΤΗ2458,2024-02-29,2025-02-28,307.9,211.6,0,46
34061904,ΑΝΥΤΙΜΕ,ΑΥΤΟΚΙΝΗΤΟΥ,ΡΡΕ5606,2024-07-19,2025-07-19,226.39,155.62,12.45,65
33964944,ΑΝΥΤΙΜΕ,ΑΥΤΟΚΙΝΗΤΟΥ,ΒΚΥ3706,2024-04-24,2025-04-24,288.78,198.36,15.87,49
34030491,ΑΝΥΤΙΜΕ,ΑΥΤΟΚΙΝΗΤΟΥ,ΖΗΡ7233,2024-06-22,2024-12-22,153.07,105.14,8.41,55
34030102,ΑΝΥΤΙΜΕ,ΑΥΤΟΚΙΝΗΤΟΥ,ΙΙΑ3950,2024-06-18,2025-06-18,373.54,257.68,21.56,54
34032462,ΑΝΥΤΙΜΕ,ΑΥΤΟΚΙΝΗΤΟΥ,ΡΡΚ2123,2024-06-20,2025-06-20,543.84,375.32,30.03,56
34037717,ΑΝΥΤΙΜΕ,ΑΥΤΟΚΙΝΗΤΟΥ,ΖΚΕ5571,2024-06-25,2024-12-25,174.51,119.76,9.58,59
33996148,ΑΝΥΤΙΜΕ,ΑΥΤΟΚΙΝΗΤΟΥ,ΧΝΗ5088,2024-05-22,2025-05-22,236.26,162.3,12.98,51
34032922,ΑΝΥΤΙΜΕ,ΑΥΤΟΚΙΝΗΤΟΥ,ΖΚΑ2810,2024-06-20,2024-12-20,189.51,129.98,10.4,57
