"N_Policy","Company","Category","Char","Started","Expired","District","Gross","Net","Commissions","id"
"21171","HELVETIA Global Solutions Ltd","ΘΡΑΥΣΗ ΚΡΥΣΤΑΛΛΩΝ","ΥΗΤ1364","25/12/2023","25/12/2024","ΑΤΤΙΚΗΣ",20,13.59,1.77,6
"966013","EUROP ASSISTANCE","ΟΔΙΚΗ ΒΟΗΘΕΙΑ","ΥΗΤ1364","25/12/2023","25/12/2024","ΑΤΤΙΚΗΣ",24,16.7,4.01,6
"682836","ARAG","ΝΟΜΙΚΗ ΠΡΟΣΤΑΣΙΑ","ΥΗΤ1364","25/12/2023","25/12/2024","ΑΤΤΙΚΗΣ",4,2.9,0.32,6
"HGR2023946639906467-1","Hellas Direct","ΑΥΤΟΚΙΝΗΤΟ","ΥΗΤ1364","25/12/2023","25/12/2024","ΑΤΤΙΚΗΣ",118.25,101.62,11.69,6
"33757785","ANYTIME","ΑΥΤΟΚΙΝΗΤΟ","ΙΤΑ9251","14/11/2023","14/05/2024","ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ",119.24,81.74,8.17,15
"33757785","ANYTIME","ΑΥΤΟΚΙΝΗΤΟ","ΙΤΑ9251","14/05/2024","14/11/2024","ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ",118.61,81.31,8.13,15
"70185814","ΙΝΤΕΡΑΜΕΡΙΚΑΝ","ΟΔΙΚΗ ΒΟΗΘΕΙΑ","ΙΤΑ9251","14/05/2024","14/11/2024","ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ",13.63,9.83,2.36,15
"963749","EUROP ASSISTANCE","ΟΔΙΚΗ ΒΟΗΘΕΙΑ","ΙΤΑ9251","14/11/2023","14/05/2024","ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ",12,8.34,2,15
"794878","ARAG","ΝΟΜΙΚΗ ΠΡΟΣΤΑΣΙΑ","ΑΙΡ9596","14/04/2024","14/10/2024","ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ",2,1.45,0.16,15
"668688","ARAG","ΝΟΜΙΚΗ ΠΡΟΣΤΑΣΙΑ","ΙΤΑ9251","14/11/2023","14/05/2024","ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ",2,1.45,0.16,15
"499235","HELVETIA Global Solutions Ltd","ΘΡΑΥΣΗ ΚΡΥΣΤΑΛΛΩΝ","ΑΙΡ9596","14/04/2024","14/10/2024","ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ",10,6.8,0.88,15
"783737","ARAG","ΝΟΜΙΚΗ ΠΡΟΣΤΑΣΙΑ","ΙΤΑ9251","14/05/2024","14/11/2024","ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ",2.5,1.81,0.4,15
"HGR2024396503827036-1","Hellas Direct","ΑΥΤΟΚΙΝΗΤΟ","ΑΙΡ9596","14/04/2024","14/10/2024","ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ",66.87,57.66,6.63,15
"HGR2024421416257554-1","Hellas Direct","ΑΥΤΟΚΙΝΗΤΟ","ΑΙΝ9990","30/01/2024","30/07/2024","ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ",53.35,45.99,5.29,11
"730637","ARAG","ΝΟΜΙΚΗ ΠΡΟΣΤΑΣΙΑ","ΑΙΝ9990","30/01/2024","30/07/2024","ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ",2,1.45,0.16,11
"212413457","ΙΝΤΕΡΑΜΕΡΙΚΑΝ","ΟΔΙΚΗ ΒΟΗΘΕΙΑ","ΑΙΝ9990","30/01/2024","30/07/2024","ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ",13.63,9.83,1.38,11
