"N_Policy","Company","Category","Char","Started","Expired","District","Gross","Net","Commissions","id"
"6198315","GROUPAMA","фыгс",NA,"18/04/2024","18/04/2025","еубоиа",162.38,141.2,35.3,13
"32203056","имтеяалеяийам","аутойимгтым","аия9596","14/10/2023","14/04/2024","аитыкоайаямамиас",85.95,58.94,14.15,8
"9924000031","ARAG","молийгс пяостасиас","вая1954","10/03/2024","10/03/2025","еубоиа",12.01,8.7,2.26,15
"30591690","имтеяалеяийам","аутойимгтым","аил7512","24/07/2024","24/07/2025","аитыкоайаямамиас",199.05,136.41,32.74,6
"30457374","имтеяалеяийам","аутойимгтым","аил2627","05/03/2024","05/09/2024","аитыкоайаямамиас",153.66,105.31,25.29,6
"30613234","имтеяалеяийам","пуяос",NA,"12/01/2024","12/01/2025","аитыкоайаямамиас",84.99,64.02,10.26,6
"2620698","лиметта","аутойимгтым","аил1296","07/05/2024","07/05/2025","аитыкоайаямамиас",191,129.33,25.69,5
"9923000414","ARAG","молийгс пяостасиас","аив2379","26/10/2023","26/10/2024","аитыкоайаямамиас",12.01,8.7,2.26,14
"70094882","имтеяалеяийам","одийгс богхеиас","аив2379","26/10/2023","26/10/2024","аитыкоайаямамиас",36,26.08,6.52,14
"33212443","имтеяалеяийам","пуяос",NA,"08/07/2024","08/01/2025","аитыкоайаямамиас",95.48,69.02,22.09,11
"33212443","имтеяалеяийам","пуяос",NA,"08/01/2024","08/07/2024","аитыкоайаямамиас",86.66,62.63,20.02,11
"6180766","GROUPAMA","пуяос",NA,"17/04/2024","17/04/2025","аттийг",77.77,56.32,18.03,12
"17.150998000000001","INTERLIFE асжакистийг","пуяос",NA,"22/06/2024","22/06/2025","аттийг",110.2,79.4,25.05,2
"33066425","имтеяалеяийам","пуяос",NA,"18/03/2024","18/03/2025","аттийг",73.97,53.56,17.11,10
"9924000082","ARAG","молийгс пяостасиас","аят6944","14/04/2024","14/10/2024","аитыкоайаямамиас",6,4.35,1.13,16
"2594633","лиметта","аутойимгтым","бйи9943","19/04/2024","19/07/2024","аттийг",97,65.31,13.45,4
"2594633","лиметта","аутойимгтым","бйи9943","19/01/2024","19/04/2024","аттийг",95,64.7,13.33,4
